+================================================================+
| TOP MARKET CAP COMPANIES                                       |
+================================================================+
| Date: 20260909 | Processed entries: 485                        |
+--------------------+----------+--------------------------------+
| Market Cap         | Symbol   | Company                        |
|     39,707,947,008 | LYV      | Live Nation Entertainment      |
|     39,560,065,024 | WAT      | Waters Corporation             |
|     39,130,128,384 | ROP      | Roper Technologies             |
|     39,049,662,464 | AIG      | American International Group   |
|     38,892,146,688 | ODFL     | Old Dominion                   |
|     38,735,831,040 | DHI      | D. R. Horton                   |
|     38,251,024,384 | SYY      | Sysco                          |
|     37,148,729,344 | NTAP     | NetApp                         |
|     37,002,702,848 | PEG      | Public Service Enterprise G... |
|     36,791,296,000 | EL       | Estée Lauder Companies (The)   |
|     36,746,498,048 | HIG      | Hartford (The)                 |
|     36,360,503,296 | MLM      | Martin Marietta Materials      |
|     35,323,023,360 | KVUE     | Kenvue                         |
|     35,129,802,752 | UAL      | United Airlines Holdings       |
|     35,043,426,304 | KR       | Kroger                         |
|     34,885,435,392 | WEC      | WEC Energy Group               |
|     34,814,390,272 | HSY      | Hershey Company (The)          |
|     34,557,341,696 | IRM      | Iron Mountain                  |
|     34,478,444,544 | EQT      | EQT Corporation                |
|     34,443,173,888 | STLD     | Steel Dynamics                 |
|     34,434,613,248 | MTB      | M&T Bank                       |
|     34,232,360,960 | KMB      | Kimberly-Clark                 |
|     33,915,254,784 | RJF      | Raymond James Financial        |
|     33,862,154,240 | HBAN     | Huntington Bancshares          |
|     33,824,841,728 | NTRS     | Northern Trust                 |
|     33,470,185,472 | VMC      | Vulcan Materials Company       |
|     33,198,891,008 | CCI      | Crown Castle                   |
|     32,952,059,904 | EXPE     | Expedia Group                  |
|     32,728,150,016 | JBL      | Jabil                          |
|     32,659,038,208 | ACGL     | Arch Capital Group             |
|     32,639,078,400 | PCG      | PG&E Corporation               |
|     31,902,197,760 | CNC      | Centene Corporation            |
|     31,898,304,512 | DXCM     | Dexcom                         |
|     31,886,972,928 | RMD      | ResMed                         |
|     31,775,860,736 | CCL      | Carnival                       |
|     31,397,724,160 | BIIB     | Biogen                         |
|     30,712,967,168 | EXR      | Extra Space Storage            |
|     30,659,196,928 | HAL      | Halliburton                    |
|     30,632,749,056 | CBOE     | Cboe Global Markets            |
|     30,396,727,296 | ZTS      | Zoetis                         |
|     30,214,955,008 | WTW      | Willis Towers Watson           |
|     30,181,451,776 | CPRT     | Copart                         |
|     30,161,348,608 | GEHC     | GE HealthCare                  |
|     29,547,483,136 | AEE      | Ameren                         |
|     29,527,011,328 | KHC      | Kraft Heinz                    |
|     29,478,162,432 | CFG      | Citizens Financial Group       |
|     29,142,636,544 | IR       | Ingersoll Rand                 |
|     28,562,165,760 | DTE      | DTE Energy                     |
|     28,485,898,240 | LVS      | Las Vegas Sands                |
|     28,401,907,712 | ATO      | Atmos Energy                   |
|     28,210,268,160 | DG       | Dollar General                 |
|     28,108,824,576 | HPQ      | HP Inc.                        |
|     28,048,889,856 | TDY      | Teledyne Technologies          |
|     27,897,577,472 | AWK      | American Water Works           |
|     27,824,228,352 | VICI     | Vici Properties                |
|     27,672,768,512 | ON       | ON Semiconductor               |
|     27,425,138,688 | FOXA     | Fox Corporation (Class A)      |
|     26,990,616,576 | CTSH     | Cognizant                      |
|     26,928,478,208 | ES       | Eversource Energy              |
|     26,877,825,024 | FE       | FirstEnergy                    |
|     26,726,739,968 | CPAY     | Corpay                         |
|     26,669,692,928 | OTIS     | Otis Worldwide                 |
|     26,558,861,312 | MTD      | Mettler Toledo                 |
|     26,449,424,384 | SMCI     | Supermicro                     |
|     26,427,856,896 | CNP      | CenterPoint Energy             |
|     26,399,275,008 | PPL      | PPL Corporation                |
|     26,346,145,792 | LH       | LabCorp                        |
|     26,283,393,024 | AVB      | AvalonBay Communities          |
|     26,227,628,032 | DOV      | Dover Corporation              |
|     25,992,927,232 | DGX      | Quest Diagnostics              |
|     25,959,276,544 | CINF     | Cincinnati Financial           |
|     25,900,541,952 | WRB      | W. R. Berkley Corporation      |
|     25,805,946,880 | JBHT     | J.B. Hunt                      |
|     25,617,520,640 | RF       | Regions Financial Corporation  |
|     25,580,656,640 | SYF      | Synchrony Financial            |
|     25,510,881,280 | VRSN     | Verisign                       |
|     25,405,700,096 | XYL      | Xylem Inc.                     |
|     25,215,600,640 | INCY     | Incyte                         |
|     25,149,581,312 | NRG      | NRG Energy                     |
|     24,630,597,632 | PFG      | Principal Financial Group      |
|     24,611,481,600 | EQR      | Equity Residential             |
|     24,553,936,896 | HUBB     | Hubbell Incorporated           |
|     24,486,279,168 | FOX      | Fox Corporation (Class B)      |
|     24,390,756,352 | PPG      | PPG Industries                 |
|     24,175,310,848 | DRI      | Darden Restaurants             |
|     24,173,058,048 | EXPD     | Expeditors International       |
|     23,801,636,864 | BG       | Bunge Global                   |
|     23,769,413,632 | WST      | West Pharmaceutical Services   |
|     23,662,176,256 | GPN      | Global Payments                |
|     23,483,684,864 | ULTA     | Ulta Beauty                    |
