+================================================================+
| TOP MARKET CAP COMPANIES                                       |
+================================================================+
| Date: 10/09/2026 | Processed entries: 485                      |
+--------------------+----------+--------------------------------+
| Market Cap         | Symbol   | Company                        |
|     69,974,188,032 | WBD      | Warner Bros. Discovery         |
|     69,943,853,056 | KMI      | Kinder Morgan                  |
|     69,635,342,336 | ORLY     | O'Reilly Auto Parts            |
|     69,473,353,728 | RCL      | Royal Caribbean Group          |
|     69,092,671,488 | HLT      | Hilton Worldwide               |
|     68,123,205,632 | RSG      | Republic Services              |
|     67,870,019,584 | AEP      | American Electric Power        |
|     65,745,674,240 | APD      | Air Products                   |
|     65,157,361,664 | BSX      | Boston Scientific              |
|     64,950,513,664 | HON      | Honeywell                      |
|     64,632,500,224 | AON      | Aon                            |
|     64,153,358,336 | PCAR     | Paccar                         |
|     64,119,717,888 | ALL      | Allstate                       |
|     64,033,206,272 | URI      | United Rentals                 |
|     63,173,775,360 | BKR      | Baker Hughes                   |
|     62,618,976,256 | AJG      | Arthur J. Gallagher & Co.      |
|     62,480,912,384 | TRGP     | Targa Resources                |
|     62,223,679,488 | TDG      | TransDigm Group                |
|     61,698,240,512 | COR      | Cencora                        |
|     61,277,769,728 | OXY      | Occidental Petroleum           |
|     61,264,556,032 | TFC      | Truist Financial               |
|     60,808,790,016 | MET      | MetLife                        |
|     60,402,020,352 | OKE      | ONEOK                          |
|     60,234,096,640 | GWW      | W. W. Grainger                 |
|     59,986,382,848 | TER      | Teradyne                       |
|     59,257,561,088 | TEL      | TE Connectivity                |
|     59,155,886,080 | MPWR     | Monolithic Power Systems       |
|     58,513,506,304 | NUE      | Nucor                          |
|     57,524,129,792 | AFL      | Aflac                          |
|     57,257,136,128 | D        | Dominion Energy                |
|     56,877,166,592 | O        | Realty Income                  |
|     56,740,409,344 | FANG     | Diamondback Energy             |
|     56,544,862,208 | CTVA     | Corteva                        |
|     56,352,718,848 | KEYS     | Keysight Technologies          |
|     56,313,307,136 | NXPI     | NXP Semiconductors             |
|     55,986,409,472 | FAST     | Fastenal                       |
|     55,818,174,464 | CAH      | Cardinal Health                |
|     55,588,069,376 | SRE      | Sempra                         |
|     55,408,676,864 | NKE      | Nike Inc.                      |
|     55,046,684,672 | PSA      | Public Storage                 |
|     54,167,556,096 | AME      | Ametek                         |
|     54,140,383,232 | MRNA     | Moderna                        |
|     53,877,997,568 | DVN      | Devon Energy                   |
|     53,633,163,264 | F        | Ford Motor Company             |
|     52,925,640,704 | EA       | Electronic Arts                |
|     52,712,521,728 | STT      | State Street Corporation       |
|     52,666,847,232 | NDAQ     | Nasdaq Inc.                    |
|     52,490,604,544 | GRMN     | Garmin                         |
|     51,787,812,864 | DAL      | Delta Air Lines                |
|     51,203,411,968 | ETR      | Entergy                        |
|     50,714,480,640 | VST      | Vistra Corp.                   |
|     49,674,153,984 | EW       | Edwards Lifesciences           |
|     49,144,504,320 | FITB     | Fifth Third Bancorp            |
|     48,975,151,104 | BDX      | Becton Dickinson               |
|     48,749,334,528 | AMP      | Ameriprise Financial           |
|     48,034,521,088 | HUM      | Humana                         |
|     47,769,636,864 | CARR     | Carrier Global                 |
|     47,590,887,424 | XEL      | Xcel Energy                    |
|     47,411,605,504 | ROK      | Rockwell Automation            |
|     47,374,426,112 | WAB      | Wabtec                         |
|     46,630,002,688 | LHX      | L3Harris                       |
|     46,061,948,928 | EBAY     | eBay                           |
|     45,847,146,496 | VTR      | Ventas                         |
|     45,593,010,176 | CMG      | Chipotle Mexican Grill         |
|     45,022,097,408 | EXC      | Exelon                         |
|     44,629,393,408 | PYPL     | PayPal                         |
|     43,655,299,072 | KDP      | Keurig Dr Pepper               |
|     43,183,579,136 | ADSK     | Autodesk                       |
|     42,298,908,672 | IQV      | IQVIA                          |
|     41,713,602,560 | ADM      | Archer Daniels Midland         |
|     40,848,760,832 | PAYX     | Paychex                        |
|     40,814,551,040 | A        | Agilent Technologies           |
|     40,584,097,792 | IDXX     | Idexx Laboratories             |
|     40,568,549,376 | PRU      | Prudential Financial           |
|     40,447,877,120 | CBRE     | CBRE Group                     |
|     40,315,056,128 | MSCI     | MSCI                           |
|     39,806,332,928 | AXON     | Axon Enterprise                |
|     39,752,880,128 | ED       | Consolidated Edison            |
|     39,746,617,344 | WAT      | Waters Corporation             |
|     39,645,065,216 | MCHP     | Microchip Technology           |
|     39,614,324,736 | YUM      | Yum! Brands                    |
|     39,600,787,456 | LYV      | Live Nation Entertainment      |
|     39,479,050,240 | TTWO     | Take-Two Interactive           |
|     39,232,675,840 | AIG      | American International Group   |
|     39,079,862,272 | SYY      | Sysco                          |
|     38,858,895,360 | DHI      | D. R. Horton                   |
|     38,605,955,072 | ROP      | Roper Technologies             |
|     37,841,911,808 | ODFL     | Old Dominion                   |
|     36,990,279,680 | HIG      | Hartford (The)                 |
|     36,286,447,616 | NTAP     | NetApp                         |
|     36,185,292,800 | PEG      | Public Service Enterprise G... |
|     35,734,843,392 | EL       | Estée Lauder Companies (The)   |
|     35,722,039,296 | MLM      | Martin Marietta Materials      |
|     34,767,908,864 | UAL      | United Airlines Holdings       |
|     34,597,392,384 | HSY      | Hershey Company (The)          |
|     34,588,913,664 | WEC      | WEC Energy Group               |
|     34,577,813,504 | KR       | Kroger                         |
|     34,497,638,400 | STLD     | Steel Dynamics                 |
|     34,371,067,904 | MTB      | M&T Bank                       |
|     34,301,319,168 | IRM      | Iron Mountain                  |
|     34,171,940,864 | EQT      | EQT Corporation                |
|     34,093,729,792 | KVUE     | Kenvue                         |
|     33,790,078,976 | NTRS     | Northern Trust                 |
|     33,707,786,240 | RJF      | Raymond James Financial        |
|     33,599,498,240 | HBAN     | Huntington Bancshares          |
|     32,853,659,648 | CCI      | Crown Castle                   |
|     32,825,550,848 | KMB      | Kimberly-Clark                 |
|     32,797,235,200 | ACGL     | Arch Capital Group             |
|     32,718,020,608 | EXPE     | Expedia Group                  |
|     32,627,554,304 | JBL      | Jabil                          |
|     32,380,430,336 | VMC      | Vulcan Materials Company       |
|     31,728,293,888 | RMD      | ResMed                         |
|     31,653,019,648 | DXCM     | Dexcom                         |
|     31,645,319,168 | CNC      | Centene Corporation            |
|     31,251,587,072 | PCG      | PG&E Corporation               |
|     31,136,200,704 | BIIB     | Biogen                         |
|     31,091,036,160 | CCL      | Carnival                       |
|     30,934,130,688 | HAL      | Halliburton                    |
|     30,480,279,552 | CBOE     | Cboe Global Markets            |
|     30,293,422,080 | ZTS      | Zoetis                         |
|     29,933,887,488 | EXR      | Extra Space Storage            |
|     29,653,739,520 | CPRT     | Copart                         |
|     29,436,391,424 | GEHC     | GE HealthCare                  |
|     29,414,596,608 | AEE      | Ameren                         |
|     29,217,036,288 | CFG      | Citizens Financial Group       |
|     29,209,010,176 | HPQ      | HP Inc.                        |
|     29,183,123,456 | KHC      | Kraft Heinz                    |
|     29,135,783,936 | WTW      | Willis Towers Watson           |
|     28,548,999,168 | IR       | Ingersoll Rand                 |
|     28,312,461,312 | DTE      | DTE Energy                     |
|     28,151,803,904 | ATO      | Atmos Energy                   |
|     28,064,892,928 | LVS      | Las Vegas Sands                |
|     27,887,640,576 | AWK      | American Water Works           |
|     27,758,161,920 | VICI     | Vici Properties                |
|     27,633,838,080 | ON       | ON Semiconductor               |
|     27,592,286,208 | TDY      | Teledyne Technologies          |
|     27,482,232,832 | DG       | Dollar General                 |
|     26,849,136,640 | FOXA     | Fox Corporation (Class A)      |
|     26,738,950,144 | FE       | FirstEnergy                    |
|     26,663,706,624 | CPAY     | Corpay                         |
|     26,532,970,496 | ES       | Eversource Energy              |
|     26,380,386,304 | OTIS     | Otis Worldwide                 |
|     26,283,393,024 | AVB      | AvalonBay Communities          |
|     26,215,854,080 | CTSH     | Cognizant                      |
|     26,197,305,344 | CNP      | CenterPoint Energy             |
|     26,041,210,880 | LH       | LabCorp                        |
|     26,000,422,912 | PPL      | PPL Corporation                |
|     25,988,511,744 | DGX      | Quest Diagnostics              |
|     25,970,022,400 | CINF     | Cincinnati Financial           |
|     25,952,518,144 | WRB      | W. R. Berkley Corporation      |
|     25,939,376,128 | VRSN     | Verisign                       |
|     25,854,375,936 | MTD      | Mettler Toledo                 |
|     25,780,488,192 | DOV      | Dover Corporation              |
|     25,575,661,568 | SMCI     | Supermicro                     |
|     25,541,943,296 | INCY     | Incyte                         |
|     25,464,172,544 | RF       | Regions Financial Corporation  |
|     25,167,433,728 | SYF      | Synchrony Financial            |
|     25,150,418,944 | JBHT     | J.B. Hunt                      |
|     25,132,521,472 | XYL      | Xylem Inc.                     |
|     24,611,481,600 | EQR      | Equity Residential             |
|     24,478,533,632 | EXPD     | Expeditors International       |
|     24,412,211,200 | PFG      | Principal Financial Group      |
|     24,251,983,872 | NRG      | NRG Energy                     |
|     24,037,234,688 | HUBB     | Hubbell Incorporated           |
|     24,006,979,584 | FOX      | Fox Corporation (Class B)      |
|     23,821,668,352 | PPG      | PPG Industries                 |
|     23,777,914,880 | DRI      | Darden Restaurants             |
|     23,726,710,784 | BG       | Bunge Global                   |
|     23,712,409,600 | WST      | West Pharmaceutical Services   |
|     23,188,703,232 | KEY      | KeyCorp                        |
|     23,168,563,200 | ULTA     | Ulta Beauty                    |
|     23,166,470,144 | VRSK     | Verisk Analytics               |
|     23,092,105,216 | VLTO     | Veralto                        |
|     23,027,091,456 | GPN      | Global Payments                |
|     22,982,649,856 | TROW     | T. Rowe Price                  |
|     22,913,056,768 | FFIV     | F5 Inc.                        |
|     22,672,828,416 | TPR      | Tapestry Inc.                  |
|     22,654,541,824 | PHM      | PulteGroup                     |
|     22,579,439,616 | CHD      | Church & Dwight                |
|     22,261,626,880 | BRO      | Brown & Brown                  |
|     22,217,203,712 | L        | Loews Corporation              |
|     22,213,552,128 | DLTR     | Dollar Tree                    |
|     22,134,867,968 | SW       | Smurfit WestRock               |
|     22,103,713,792 | EIX      | Edison International           |
|     21,827,115,008 | FSLR     | First Solar                    |
|     21,511,692,288 | IFF      | International Flavors & Fra... |
