+====================================================================+
| HIGHEST WINNERS (52-WEEK METRIC)                                   |
+====================================================================+
| Date: 10/09/2026 | Processed entries: 485                          |
+----------+------------------------+----------+----------+----------+
| Symbol   | Company                | Price    | 52W High | Distance |
| FDX      | FedEx                  |   309.19 |   345.37 |   10.48% |
| EW       | Edwards Lifesciences   |    86.18 |    96.29 |   10.50% |
| PM       | Philip Morris Inter... |   185.71 |   207.76 |   10.61% |
| JBHT     | J.B. Hunt              |   267.80 |   299.76 |   10.66% |
| ZBRA     | Zebra Technologies     |   344.83 |   386.23 |   10.72% |
| MCK      | McKesson Corporation   |   891.68 |   999.00 |   10.74% |
| TFC      | Truist Financial       |    50.15 |    56.20 |   10.77% |
| GPC      | Genuine Parts Company  |   135.24 |   151.57 |   10.77% |
| SNA      | Snap-on                |   377.42 |   423.02 |   10.78% |
| D        | Dominion Energy        |    65.10 |    72.99 |   10.81% |
| GS       | Goldman Sachs          |  1028.78 |  1153.99 |   10.85% |
| AMD      | Advanced Micro Devices |   521.10 |   584.73 |   10.88% |
| EQR      | Equity Residential     |    63.66 |    71.50 |   10.97% |
| WTW      | Willis Towers Watson   |   313.72 |   352.79 |   11.07% |
| MMM      | 3M                     |   164.40 |   184.90 |   11.09% |
| CRWD     | CrowdStrike            |   207.80 |   233.88 |   11.15% |
| DOC      | Healthpeak Properties  |    20.39 |    22.95 |   11.15% |
| SYY      | Sysco                  |    81.57 |    91.85 |   11.19% |
| MSFT     | Microsoft              |   491.65 |   553.72 |   11.21% |
| AEP      | American Electric P... |   124.67 |   140.58 |   11.32% |
| DIS      | Walt Disney Company... |   104.18 |   117.51 |   11.34% |
| GL       | Globe Life             |   169.82 |   191.55 |   11.34% |
| ADP      | Automatic Data Proc... |   265.22 |   299.22 |   11.36% |
| CL       | Colgate-Palmolive      |    88.03 |    99.33 |   11.38% |
| ICE      | Intercontinental Ex... |   156.50 |   176.59 |   11.38% |
| WRB      | W. R. Berkley Corpo... |    69.91 |    78.96 |   11.46% |
| WEC      | WEC Energy Group       |   106.15 |   119.91 |   11.48% |
| ZBH      | Zimmer Biomet          |    94.61 |   106.88 |   11.48% |
| O        | Realty Income          |    60.11 |    67.94 |   11.52% |
| PLD      | Prologis               |   135.66 |   153.35 |   11.54% |
| KIM      | Kimco Realty           |    23.57 |    26.65 |   11.56% |
| A        | Agilent Technologies   |   144.75 |   163.75 |   11.60% |
| NTAP     | NetApp                 |   184.74 |   209.06 |   11.63% |
| TROW     | T. Rowe Price          |   107.74 |   122.00 |   11.69% |
| FE       | FirstEnergy            |    46.21 |    52.34 |   11.71% |
| BALL     | Ball Corporation       |    60.29 |    68.29 |   11.71% |
| KEYS     | Keysight Technologies  |   331.01 |   374.96 |   11.72% |
| KVUE     | Kenvue                 |    17.75 |    20.13 |   11.82% |
| CI       | Cigna                  |   278.17 |   315.47 |   11.82% |
| GD       | General Dynamics       |   352.67 |   400.00 |   11.83% |
| AFL      | Aflac                  |   114.74 |   130.22 |   11.89% |
| MO       | Altria                 |    67.89 |    77.06 |   11.90% |
| AMT      | American Tower         |   175.43 |   199.13 |   11.90% |
| ECL      | Ecolab                 |   272.21 |   309.27 |   11.98% |
| PAYC     | Paycom                 |   215.58 |   244.98 |   12.00% |
| VTR      | Ventas                 |    89.38 |   101.60 |   12.03% |
| AMZN     | Amazon                 |   252.40 |   287.20 |   12.12% |
| BLK      | BlackRock              |  1072.03 |  1219.94 |   12.12% |
| CNP      | CenterPoint Energy     |    39.77 |    45.26 |   12.13% |
| TT       | Trane Technologies     |   444.17 |   505.87 |   12.20% |
| PSA      | Public Storage         |   294.60 |   335.55 |   12.20% |
| ABNB     | Airbnb                 |   169.63 |   193.45 |   12.31% |
| ROST     | Ross Stores            |   225.27 |   257.00 |   12.35% |
| KHC      | Kraft Heinz            |    24.61 |    28.09 |   12.39% |
| SO       | Southern Company       |    88.34 |   100.84 |   12.40% |
| SWK      | Stanley Black & Decker |    91.68 |   104.68 |   12.42% |
| PCAR     | Paccar                 |   121.88 |   139.24 |   12.47% |
| AMGN     | Amgen                  |   391.27 |   447.03 |   12.47% |
| MAA      | Mid-America Apartme... |   127.48 |   145.80 |   12.57% |
| PNW      | Pinnacle West          |    97.18 |   111.16 |   12.58% |
| PKG      | Packaging Corporati... |   227.28 |   259.98 |   12.58% |
| OMC      | Omnicom Group          |    78.30 |    89.57 |   12.58% |
| DTE      | DTE Energy             |   136.06 |   155.75 |   12.64% |
| WST      | West Pharmaceutical... |   336.94 |   386.00 |   12.71% |
| URI      | United Rentals         |  1028.77 |  1179.18 |   12.76% |
| WM       | Waste Management       |   216.44 |   248.13 |   12.77% |
| SYF      | Synchrony Financial    |    77.35 |    88.77 |   12.86% |
| ITW      | Illinois Tool Works    |   263.99 |   303.16 |   12.92% |
| RTX      | RTX Corporation        |   197.55 |   226.88 |   12.93% |
| LLY      | Lilly (Eli)            |  1124.21 |  1292.65 |   13.03% |
| CPT      | Camden Property Trust  |   104.11 |   119.81 |   13.10% |
| ETN      | Eaton Corporation      |   415.22 |   478.00 |   13.13% |
| CINF     | Cincinnati Financial   |   169.21 |   194.81 |   13.14% |
| MCO      | Moody's Corporation    |   474.57 |   546.88 |   13.22% |
| EBAY     | eBay                   |   103.51 |   119.31 |   13.24% |
| GRMN     | Garmin                 |   272.18 |   314.28 |   13.40% |
| ATO      | Atmos Energy           |   166.59 |   192.51 |   13.46% |
| FTV      | Fortive                |    55.81 |    64.56 |   13.55% |
| MDT      | Medtronic              |    91.89 |   106.33 |   13.58% |
| PH       | Parker Hannifin        |   949.47 |  1099.94 |   13.68% |
| PGR      | Progressive Corpora... |   215.50 |   249.71 |   13.70% |
| EXC      | Exelon                 |    43.70 |    50.65 |   13.72% |
| VLTO     | Veralto                |    94.72 |   109.86 |   13.78% |
| CVS      | CVS Health             |    95.38 |   110.68 |   13.82% |
| PPL      | PPL Corporation        |    34.55 |    40.11 |   13.86% |
| LNT      | Alliant Energy         |    67.86 |    78.81 |   13.89% |
| MSCI     | MSCI                   |   554.54 |   644.77 |   13.99% |
| AIG      | American Internatio... |    75.03 |    87.29 |   14.05% |
| SPG      | Simon Property Group   |   204.53 |   238.50 |   14.24% |
| HLT      | Hilton Worldwide       |   306.99 |   358.00 |   14.25% |
| HST      | Host Hotels & Resorts  |    22.04 |    25.71 |   14.27% |
| ROK      | Rockwell Automation    |   426.08 |   497.36 |   14.33% |
| COR      | Cencora                |   323.32 |   377.54 |   14.36% |
| IRM      | Iron Mountain          |   115.22 |   134.68 |   14.45% |
| HBAN     | Huntington Bancshares  |    16.63 |    19.46 |   14.54% |
| MNST     | Monster Beverage       |    42.84 |    50.17 |   14.61% |
| EXR      | Extra Space Storage    |   135.63 |   158.88 |   14.63% |
| YUM      | Yum! Brands            |   145.16 |   170.14 |   14.68% |
| TDY      | Teledyne Technologies  |   595.23 |   697.67 |   14.68% |
| PG       | Procter & Gamble       |   142.64 |   167.25 |   14.71% |
| HAL      | Halliburton            |    37.13 |    43.59 |   14.82% |
| UNH      | UnitedHealth Group     |   393.06 |   461.62 |   14.85% |
| LIN      | Linde plc              |   466.65 |   548.20 |   14.88% |
| AVY      | Avery Dennison         |   169.79 |   199.54 |   14.91% |
| SHW      | Sherwin-Williams       |   320.64 |   377.77 |   15.12% |
| CMS      | CMS Energy             |    68.17 |    80.36 |   15.17% |
| NI       | NiSource               |    41.67 |    49.21 |   15.32% |
| AMCR     | Amcor                  |    43.13 |    50.94 |   15.33% |
| MTD      | Mettler Toledo         |  1290.36 |  1525.17 |   15.40% |
| T        | AT&T                   |    25.15 |    29.79 |   15.58% |
| PAYX     | Paychex                |   114.75 |   135.97 |   15.61% |
| DHR      | Danaher Corporation    |   204.85 |   242.80 |   15.63% |
| UDR      | UDR Inc.               |    35.40 |    42.00 |   15.71% |
| SWKS     | Skyworks Solutions     |    76.54 |    90.90 |   15.80% |
| J        | Jacobs Solutions       |   141.75 |   168.44 |   15.85% |
| CMG      | Chipotle Mexican Grill |    36.03 |    42.82 |   15.86% |
| SRE      | Sempra                 |    85.01 |   101.04 |   15.87% |
| PANW     | Palo Alto Networks     |   335.10 |   398.88 |   15.99% |
| AES      | AES Corporation        |    14.82 |    17.65 |   16.03% |
| CSCO     | Cisco                  |   109.43 |   130.37 |   16.06% |
| FOX      | Fox Corporation (Cl... |    57.10 |    68.17 |   16.24% |
| NEE      | NextEra Energy         |    82.65 |    98.75 |   16.30% |
| GE       | GE Aerospace           |   325.42 |   388.84 |   16.31% |
| FOXA     | Fox Corporation (Cl... |    63.86 |    76.39 |   16.40% |
| CME      | CME Group              |   274.70 |   329.16 |   16.55% |
| STLD     | Steel Dynamics         |   240.69 |   288.74 |   16.64% |
| MKTX     | MarketAxess            |   163.26 |   195.97 |   16.69% |
| SBAC     | SBA Communications     |   186.74 |   224.46 |   16.80% |
| HAS      | Hasbro                 |    88.97 |   106.98 |   16.83% |
| DLTR     | Dollar Tree            |   118.39 |   142.40 |   16.86% |
| AXP      | American Express       |   321.80 |   387.49 |   16.95% |
| CDW      | CDW                    |   142.37 |   171.55 |   17.01% |
| MAS      | Masco                  |    69.38 |    83.64 |   17.05% |
| ALLE     | Allegion               |   151.73 |   183.11 |   17.14% |
| PEG      | Public Service Ente... |    72.60 |    87.63 |   17.15% |
| BWA      | BorgWarner             |    65.26 |    78.82 |   17.20% |
| META     | Meta Platforms         |   653.69 |   790.80 |   17.34% |
| COST     | Costco                 |   902.60 |  1096.50 |   17.68% |
| DAL      | Delta Air Lines        |    78.75 |    95.68 |   17.69% |
| PHM      | PulteGroup             |   118.93 |   144.50 |   17.70% |
| JKHY     | Jack Henry & Associ... |   158.48 |   193.39 |   18.05% |
| MU       | Micron Technology      |  1027.77 |  1255.00 |   18.11% |
| EMN      | Eastman Chemical Co... |    68.34 |    83.47 |   18.13% |
| ADI      | Analog Devices         |   365.07 |   445.91 |   18.13% |
| PLTR     | Palantir Technologies  |   169.53 |   207.52 |   18.31% |
| WY       | Weyerhaeuser           |    22.59 |    27.75 |   18.59% |
| BAX      | Baxter International   |    24.39 |    30.00 |   18.70% |
| COF      | Capital One            |   210.86 |   259.64 |   18.79% |
| EL       | Estée Lauder Compan... |    98.77 |   121.64 |   18.80% |
| GOOG     | Alphabet Inc. (Clas... |   328.38 |   404.47 |   18.81% |
| BA       | Boeing                 |   206.42 |   254.35 |   18.84% |
| UPS      | United Parcel Service  |    99.22 |   122.41 |   18.94% |
| TEL      | TE Connectivity        |   204.68 |   252.56 |   18.96% |
| BXP      | BXP Inc.               |    64.29 |    79.33 |   18.96% |
| DD       | DuPont                 |   127.92 |   157.98 |   19.03% |
| GOOGL    | Alphabet Inc. (Clas... |   330.65 |   408.61 |   19.08% |
| MAR      | Marriott International |   331.52 |   410.98 |   19.33% |
| DOV      | Dover Corporation      |   191.42 |   237.54 |   19.42% |
| HUBB     | Hubbell Incorporated   |   454.97 |   565.50 |   19.55% |
| PPG      | PPG Industries         |   107.16 |   133.43 |   19.69% |
| SW       | Smurfit WestRock       |    42.20 |    52.65 |   19.85% |
| CBRE     | CBRE Group             |   139.68 |   174.27 |   19.85% |
| SPGI     | S&P Global             |   418.36 |   522.47 |   19.93% |
| EQT      | EQT Corporation        |    54.63 |    68.24 |   19.94% |
| STE      | Steris                 |   215.09 |   269.44 |   20.17% |
| PEP      | PepsiCo                |   136.69 |   171.48 |   20.29% |
| EXPE     | Expedia Group          |   272.60 |   342.00 |   20.29% |
| AON      | Aon                    |   304.69 |   382.34 |   20.31% |
| RL       | Ralph Lauren Corpor... |   335.61 |   421.60 |   20.40% |
| GEV      | GE Vernova             |   951.04 |  1195.94 |   20.48% |
| PWR      | Quanta Services        |   626.98 |   788.75 |   20.51% |
| TTWO     | Take-Two Interactive   |   211.14 |   265.94 |   20.61% |
| MOH      | Molina Healthcare      |   194.13 |   244.89 |   20.73% |
| ORLY     | O'Reilly Auto Parts    |    86.08 |   108.72 |   20.82% |
| HRL      | Hormel Foods           |    20.97 |    26.60 |   21.17% |
| MGM      | MGM Resorts            |    40.66 |    51.59 |   21.19% |
| HON      | Honeywell              |   204.93 |   260.28 |   21.27% |
| DG       | Dollar General         |   124.57 |   158.23 |   21.27% |
| TXT      | Textron                |    79.89 |   101.57 |   21.34% |
| TER      | Teradyne               |   383.69 |   487.91 |   21.36% |
| CBOE     | Cboe Global Markets    |   291.87 |   371.18 |   21.37% |
| TXN      | Texas Instruments      |   261.59 |   334.03 |   21.69% |
| WMT      | Walmart                |   105.83 |   135.16 |   21.70% |
| AJG      | Arthur J. Gallagher... |   244.28 |   313.55 |   22.09% |
| STX      | Seagate Technology     |   885.92 |  1145.00 |   22.63% |
| RMD      | ResMed                 |   219.95 |   284.87 |   22.79% |
| UAL      | United Airlines Hol... |   107.12 |   138.77 |   22.81% |
| BKNG     | Booking Holdings       |   173.43 |   225.00 |   22.92% |
| TDG      | TransDigm Group        |  1125.68 |  1463.03 |   23.06% |
| LYB      | LyondellBasell         |    64.51 |    83.94 |   23.15% |
| MRNA     | Moderna                |   135.61 |   176.66 |   23.24% |
| DHI      | D. R. Horton           |   138.93 |   181.47 |   23.44% |
| ABT      | Abbott Laboratories    |   105.23 |   137.49 |   23.46% |
| ALGN     | Align Technology       |   152.92 |   200.44 |   23.71% |
| CAT      | Caterpillar Inc.       |   815.56 |  1073.46 |   24.03% |
| HCA      | HCA Healthcare         |   421.83 |   556.52 |   24.20% |
| LMT      | Lockheed Martin        |   524.46 |   692.00 |   24.21% |
| ULTA     | Ulta Beauty            |   541.86 |   714.97 |   24.21% |
| F        | Ford Motor Company     |    13.45 |    17.78 |   24.35% |
| VICI     | Vici Properties        |    25.21 |    33.38 |   24.49% |
| CARR     | Carrier Global         |    57.95 |    76.76 |   24.50% |
| VMC      | Vulcan Materials Co... |   249.89 |   331.09 |   24.53% |
| KMB      | Kimberly-Clark         |    98.70 |   130.83 |   24.56% |
| CMI      | Cummins                |   554.76 |   737.76 |   24.80% |
| FDS      | FactSet                |   279.17 |   371.53 |   24.86% |
| HWM      | Howmet Aerospace       |   232.62 |   310.00 |   24.96% |
| ROP      | Roper Technologies     |   390.35 |   521.28 |   25.12% |
| CMCSA    | Comcast                |    24.59 |    32.86 |   25.17% |
| CCI      | Crown Castle           |    75.18 |   100.50 |   25.19% |
| INTC     | Intel                  |   106.24 |   142.35 |   25.37% |
| TSN      | Tyson Foods            |    51.74 |    69.48 |   25.53% |
| CAG      | Conagra Brands         |    15.11 |    20.32 |   25.64% |
| TJX      | TJX Companies          |   126.12 |   170.00 |   25.81% |
| MCD      | McDonald's             |   253.48 |   341.75 |   25.83% |
| PCG      | PG&E Corporation       |    14.19 |    19.16 |   25.94% |
| DVA      | DaVita                 |   183.01 |   247.49 |   26.05% |
| TSLA     | Tesla Inc.             |   367.81 |   498.83 |   26.27% |
| KR       | Kroger                 |    56.44 |    76.58 |   26.30% |
| AVGO     | Broadcom               |   364.38 |   495.00 |   26.39% |
| OTIS     | Otis Worldwide         |    69.30 |    94.56 |   26.72% |
| SNPS     | Synopsys               |   393.22 |   539.48 |   27.11% |
| RCL      | Royal Caribbean Group  |   259.76 |   356.39 |   27.11% |
| IR       | Ingersoll Rand         |    73.58 |   100.96 |   27.12% |
| HD       | Home Depot (The)       |   310.45 |   426.75 |   27.25% |
| TMUS     | T-Mobile US            |   177.34 |   244.24 |   27.39% |
| GEHC     | GE HealthCare          |    65.17 |    89.77 |   27.40% |
| JBL      | Jabil                  |   311.37 |   428.93 |   27.41% |
| GIS      | General Mills          |    37.09 |    51.33 |   27.74% |
| NVR      | NVR Inc.               |  6187.30 |  8563.79 |   27.75% |
| ODFL     | Old Dominion           |   181.96 |   252.03 |   27.80% |
| IBM      | IBM                    |   239.94 |   332.46 |   27.83% |
| STZ      | Constellation Brands   |   121.55 |   168.60 |   27.91% |
| LRCX     | Lam Research           |   315.84 |   438.50 |   27.97% |
| HSY      | Hershey Company (The)  |   172.19 |   239.48 |   28.10% |
| LW       | Lamb Weston            |    48.13 |    67.07 |   28.24% |
| CHRW     | C.H. Robinson          |   150.45 |   210.33 |   28.47% |
| UHS      | Universal Health Se... |   175.78 |   246.33 |   28.64% |
| ERIE     | Erie Indemnity         |   243.83 |   341.71 |   28.64% |
| CEG      | Constellation Energy   |   293.90 |   412.70 |   28.78% |
| MKC      | McCormick & Company    |    51.48 |    72.41 |   28.90% |
| MOS      | Mosaic Company (The)   |    26.21 |    36.99 |   29.14% |
