+====================================================================+
| HIGHEST WINNERS (52-WEEK METRIC)                                   |
+====================================================================+
| Date: 11/09/2026 | Processed entries: 485                          |
+----------+------------------------+----------+----------+----------+
| Symbol   | Company                | Price    | 52W High | Distance |
| J        | Jacobs Solutions       |   140.53 |   168.44 |   16.57% |
| GE       | GE Aerospace           |   324.15 |   388.84 |   16.64% |
| BWA      | BorgWarner             |    65.69 |    78.82 |   16.66% |
| DLTR     | Dollar Tree            |   118.66 |   142.40 |   16.67% |
| CME      | CME Group              |   274.07 |   329.16 |   16.74% |
| MKTX     | MarketAxess            |   163.09 |   195.97 |   16.78% |
| SRE      | Sempra                 |    84.00 |   101.04 |   16.86% |
| CDW      | CDW                    |   142.60 |   171.55 |   16.88% |
| AXP      | American Express       |   320.71 |   387.49 |   17.23% |
| HAL      | Halliburton            |    36.07 |    43.59 |   17.25% |
| PEG      | Public Service Ente... |    72.48 |    87.63 |   17.29% |
| ALLE     | Allegion               |   151.27 |   183.11 |   17.39% |
| DHR      | Danaher Corporation    |   200.53 |   242.80 |   17.41% |
| CSCO     | Cisco                  |   107.44 |   130.37 |   17.59% |
| COST     | Costco                 |   902.38 |  1096.50 |   17.70% |
| STLD     | Steel Dynamics         |   237.08 |   288.74 |   17.89% |
| EMN      | Eastman Chemical Co... |    68.38 |    83.47 |   18.08% |
| MOH      | Molina Healthcare      |   200.28 |   244.89 |   18.22% |
| DAL      | Delta Air Lines        |    78.24 |    95.68 |   18.23% |
| GOOG     | Alphabet Inc. (Clas... |   330.39 |   404.47 |   18.32% |
| UPS      | United Parcel Service  |    99.97 |   122.41 |   18.33% |
| TTWO     | Take-Two Interactive   |   216.96 |   265.94 |   18.42% |
| META     | Meta Platforms         |   644.38 |   790.80 |   18.52% |
| GOOGL    | Alphabet Inc. (Clas... |   332.60 |   408.61 |   18.60% |
| TEL      | TE Connectivity        |   204.63 |   252.56 |   18.98% |
| ADI      | Analog Devices         |   361.25 |   445.91 |   18.99% |
| EXPE     | Expedia Group          |   276.88 |   342.00 |   19.04% |
| MAS      | Masco                  |    67.64 |    83.64 |   19.13% |
| SBAC     | SBA Communications     |   181.42 |   224.46 |   19.17% |
| BAX      | Baxter International   |    24.18 |    30.00 |   19.40% |
| DD       | DuPont                 |   127.32 |   157.98 |   19.41% |
| PHM      | PulteGroup             |   116.41 |   144.50 |   19.44% |
| EQT      | EQT Corporation        |    54.96 |    68.24 |   19.46% |
| BA       | Boeing                 |   204.80 |   254.35 |   19.48% |
| AON      | Aon                    |   307.77 |   382.34 |   19.50% |
| BXP      | BXP Inc.               |    63.72 |    79.33 |   19.68% |
| SW       | Smurfit WestRock       |    42.21 |    52.65 |   19.83% |
| MAR      | Marriott International |   329.07 |   410.98 |   19.93% |
| HUBB     | Hubbell Incorporated   |   452.41 |   565.50 |   20.00% |
| PLTR     | Palantir Technologies  |   165.86 |   207.52 |   20.08% |
| RL       | Ralph Lauren Corpor... |   336.67 |   421.60 |   20.14% |
| COF      | Capital One            |   207.11 |   259.64 |   20.23% |
| PEP      | PepsiCo                |   136.65 |   171.48 |   20.31% |
| EL       | Estée Lauder Compan... |    96.47 |   121.64 |   20.69% |
| WY       | Weyerhaeuser           |    21.99 |    27.75 |   20.76% |
| CBRE     | CBRE Group             |   137.99 |   174.27 |   20.82% |
| MGM      | MGM Resorts            |    40.73 |    51.59 |   21.05% |
| DOV      | Dover Corporation      |   187.37 |   237.54 |   21.12% |
| STE      | Steris                 |   212.45 |   269.44 |   21.15% |
| PPG      | PPG Industries         |   105.05 |   133.43 |   21.27% |
| ORLY     | O'Reilly Auto Parts    |    85.51 |   108.72 |   21.35% |
| SPGI     | S&P Global             |   410.42 |   522.47 |   21.45% |
| PWR      | Quanta Services        |   618.73 |   788.75 |   21.56% |
| HRL      | Hormel Foods           |    20.84 |    26.60 |   21.65% |
| WMT      | Walmart                |   105.73 |   135.16 |   21.77% |
| F        | Ford Motor Company     |    13.88 |    17.78 |   21.93% |
| TXT      | Textron                |    79.20 |   101.57 |   22.02% |
| MU       | Micron Technology      |   977.41 |  1255.00 |   22.12% |
| DG       | Dollar General         |   122.99 |   158.23 |   22.27% |
| HON      | Honeywell              |   202.18 |   260.28 |   22.32% |
| AJG      | Arthur J. Gallagher... |   243.31 |   313.55 |   22.40% |
| TXN      | Texas Instruments      |   258.82 |   334.03 |   22.52% |
| BKNG     | Booking Holdings       |   174.33 |   225.00 |   22.52% |
| CBOE     | Cboe Global Markets    |   287.49 |   371.18 |   22.55% |
| MRNA     | Moderna                |   136.62 |   176.66 |   22.67% |
| GEV      | GE Vernova             |   923.91 |  1195.94 |   22.75% |
| RMD      | ResMed                 |   219.58 |   284.87 |   22.92% |
| TDG      | TransDigm Group        |  1126.88 |  1463.03 |   22.98% |
| UAL      | United Airlines Hol... |   106.49 |   138.77 |   23.26% |
| LMT      | Lockheed Martin        |   530.12 |   692.00 |   23.39% |
| LYB      | LyondellBasell         |    64.30 |    83.94 |   23.40% |
| CMCSA    | Comcast                |    25.17 |    32.86 |   23.40% |
| TER      | Teradyne               |   370.19 |   487.91 |   24.13% |
| KMB      | Kimberly-Clark         |    98.48 |   129.87 |   24.17% |
| VMC      | Vulcan Materials Co... |   250.60 |   331.09 |   24.31% |
| HCA      | HCA Healthcare         |   421.21 |   556.52 |   24.31% |
| TSN      | Tyson Foods            |    52.46 |    69.48 |   24.50% |
| STX      | Seagate Technology     |   862.33 |  1145.00 |   24.69% |
| ALGN     | Align Technology       |   150.72 |   200.44 |   24.81% |
| ABT      | Abbott Laboratories    |   103.36 |   137.49 |   24.82% |
| CAT      | Caterpillar Inc.       |   805.00 |  1073.46 |   25.01% |
| ULTA     | Ulta Beauty            |   535.63 |   714.97 |   25.08% |
| DHI      | D. R. Horton           |   135.57 |   181.47 |   25.29% |
| CMI      | Cummins                |   550.03 |   737.76 |   25.45% |
| ROP      | Roper Technologies     |   388.58 |   521.28 |   25.46% |
| KR       | Kroger                 |    56.95 |    76.58 |   25.63% |
| TJX      | TJX Companies          |   126.42 |   170.00 |   25.64% |
| VICI     | Vici Properties        |    24.73 |    33.38 |   25.92% |
| MCD      | McDonald's             |   253.05 |   341.75 |   25.95% |
| CARR     | Carrier Global         |    56.64 |    76.76 |   26.21% |
| SNPS     | Synopsys               |   397.17 |   539.48 |   26.38% |
| HWM      | Howmet Aerospace       |   227.91 |   310.00 |   26.48% |
| CCI      | Crown Castle           |    73.87 |   100.50 |   26.50% |
| STZ      | Constellation Brands   |   123.81 |   168.60 |   26.57% |
| DVA      | DaVita                 |   181.33 |   247.49 |   26.73% |
| PCG      | PG&E Corporation       |    14.03 |    19.16 |   26.77% |
| AVGO     | Broadcom               |   360.83 |   495.00 |   27.11% |
