+================================================================+
| TOP MARKET CAP COMPANIES                                       |
+================================================================+
| Date: 11/09/2026 | Processed entries: 485                      |
+--------------------+----------+--------------------------------+
| Market Cap         | Symbol   | Company                        |
|     37,919,105,024 | DHI      | D. R. Horton                   |
|     37,548,675,072 | ODFL     | Old Dominion                   |
|     37,055,291,392 | HIG      | Hartford (The)                 |
|     36,125,487,104 | PEG      | Public Service Enterprise G... |
|     36,062,531,584 | NTAP     | NetApp                         |
|     35,685,109,760 | MLM      | Martin Marietta Materials      |
|     35,029,381,120 | HSY      | Hershey Company (The)          |
|     34,902,708,224 | EL       | Estée Lauder Companies (The)   |
|     34,890,264,576 | KR       | Kroger                         |
|     34,563,428,352 | UAL      | United Airlines Holdings       |
|     34,518,372,352 | MTB      | M&T Bank                       |
|     34,378,358,784 | EQT      | EQT Corporation                |
|     34,328,231,936 | WEC      | WEC Energy Group               |
|     34,247,469,056 | NTRS     | Northern Trust                 |
|     34,170,562,560 | KVUE     | Kenvue                         |
|     33,980,225,536 | STLD     | Steel Dynamics                 |
|     33,801,539,584 | HBAN     | Huntington Bancshares          |
|     33,610,647,552 | IRM      | Iron Mountain                  |
|     33,335,113,728 | RJF      | Raymond James Financial        |
|     33,231,714,304 | EXPE     | Expedia Group                  |
|     32,826,241,024 | ACGL     | Arch Capital Group             |
|     32,752,384,000 | KMB      | Kimberly-Clark                 |
|     32,472,432,640 | VMC      | Vulcan Materials Company       |
|     32,307,273,728 | CNC      | Centene Corporation            |
|     32,281,190,400 | CCI      | Crown Castle                   |
|     31,890,759,680 | DXCM     | Dexcom                         |
|     31,830,642,688 | BIIB     | Biogen                         |
|     31,729,528,832 | JBL      | Jabil                          |
|     31,674,920,960 | RMD      | ResMed                         |
|     30,899,208,192 | PCG      | PG&E Corporation               |
|     30,776,014,848 | CCL      | Carnival                       |
|     30,114,861,056 | EXR      | Extra Space Storage            |
|     30,107,473,920 | ZTS      | Zoetis                         |
|     30,051,012,608 | HAL      | Halliburton                    |
|     30,022,871,040 | CBOE     | Cboe Global Markets            |
|     29,515,618,304 | HPQ      | HP Inc.                        |
|     29,326,538,752 | CFG      | Citizens Financial Group       |
|     29,292,738,560 | WTW      | Willis Towers Watson           |
|     29,054,699,520 | AEE      | Ameren                         |
|     29,016,324,096 | GEHC     | GE HealthCare                  |
|     28,922,241,024 | KHC      | Kraft Heinz                    |
|     28,468,703,232 | CPRT     | Copart                         |
|     28,358,877,184 | IR       | Ingersoll Rand                 |
|     27,954,548,736 | DTE      | DTE Energy                     |
|     27,851,003,904 | ATO      | Atmos Energy                   |
|     27,790,262,272 | AWK      | American Water Works           |
|     27,651,158,016 | TDY      | Teledyne Technologies          |
|     27,592,069,120 | LVS      | Las Vegas Sands                |
|     27,404,113,920 | FOXA     | Fox Corporation (Class A)      |
|     27,318,487,040 | ON       | ON Semiconductor               |
|     27,229,646,848 | VICI     | Vici Properties                |
|     27,133,657,088 | DG       | Dollar General                 |
|     26,819,977,216 | CPAY     | Corpay                         |
|     26,762,096,640 | FE       | FirstEnergy                    |
|     26,283,393,024 | AVB      | AvalonBay Communities          |
|     26,269,906,944 | CTSH     | Cognizant                      |
|     26,112,040,960 | VRSN     | Verisign                       |
|     26,028,341,248 | CINF     | Cincinnati Financial           |
|     26,004,488,192 | WRB      | W. R. Berkley Corporation      |
|     25,986,789,376 | ES       | Eversource Energy              |
|     25,843,642,368 | OTIS     | Otis Worldwide                 |
|     25,769,136,128 | CNP      | CenterPoint Energy             |
|     25,744,558,080 | PPL      | PPL Corporation                |
|     25,658,417,152 | MTD      | Mettler Toledo                 |
|     25,515,290,624 | RF       | Regions Financial Corporation  |
|     25,511,698,432 | DGX      | Quest Diagnostics              |
|     25,235,032,064 | DOV      | Dover Corporation              |
|     25,153,236,992 | JBHT     | J.B. Hunt                      |
|     24,988,577,792 | INCY     | Incyte                         |
|     24,894,455,808 | LH       | LabCorp                        |
|     24,878,020,608 | XYL      | Xylem Inc.                     |
|     24,613,470,208 | PFG      | Principal Financial Group      |
|     24,611,481,600 | EQR      | Equity Residential             |
|     24,609,826,816 | EXPD     | Expeditors International       |
|     24,557,367,296 | SMCI     | Supermicro                     |
|     24,545,978,368 | SYF      | Synchrony Financial            |
|     24,410,599,424 | FOX      | Fox Corporation (Class B)      |
|     24,226,854,912 | WST      | West Pharmaceutical Services   |
|     23,936,120,832 | BG       | Bunge Global                   |
|     23,901,984,768 | HUBB     | Hubbell Incorporated           |
|     23,563,321,344 | DRI      | Darden Restaurants             |
|     23,470,000,128 | NRG      | NRG Energy                     |
|     23,431,958,528 | GPN      | Global Payments                |
|     23,352,614,912 | PPG      | PPG Industries                 |
|     23,188,703,232 | KEY      | KeyCorp                        |
|     23,103,514,624 | TPR      | Tapestry Inc.                  |
|     22,942,121,984 | TROW     | T. Rowe Price                  |
|     22,902,183,936 | ULTA     | Ulta Beauty                    |
|     22,889,236,480 | VRSK     | Verisk Analytics               |
|     22,782,486,528 | VLTO     | Veralto                        |
|     22,564,800,512 | FFIV     | F5 Inc.                        |
|     22,298,974,208 | L        | Loews Corporation              |
|     22,282,936,320 | CHD      | Church & Dwight                |
|     22,264,516,608 | FSLR     | First Solar                    |
|     22,264,213,504 | DLTR     | Dollar Tree                    |
|     22,194,706,432 | BRO      | Brown & Brown                  |
|     22,174,517,248 | PHM      | PulteGroup                     |
|     22,140,110,848 | SW       | Smurfit WestRock               |
|     21,838,192,640 | EIX      | Edison International           |
|     21,796,784,128 | OMC      | Omnicom Group                  |
|     21,445,355,520 | IFF      | International Flavors & Fra... |
|     21,410,179,072 | DOW      | Dow Inc.                       |
|     21,222,901,760 | CMS      | CMS Energy                     |
|     21,147,285,504 | STZ      | Constellation Brands           |
|     20,771,340,288 | LYB      | LyondellBasell                 |
|     20,748,199,936 | FICO     | Fair Isaac                     |
|     20,713,897,984 | STE      | Steris                         |
|     20,707,336,192 | PKG      | Packaging Corporation of Am... |
|     20,447,295,488 | CF       | CF Industries                  |
|     20,059,553,792 | RL       | Ralph Lauren Corporation       |
|     19,880,865,792 | AMCR     | Amcor                          |
|     19,864,991,744 | FIS      | Fidelity National Informati... |
|     19,863,377,920 | NI       | NiSource                       |
|     19,742,160,896 | EFX      | Equifax                        |
|     19,388,876,800 | SNA      | Snap-on                        |
|     19,246,505,984 | SBAC     | SBA Communications             |
|     19,225,274,368 | GIS      | General Mills                  |
|     19,183,028,224 | BR       | Broadridge Financial Solutions |
|     18,944,323,584 | CHTR     | Charter Communications         |
|     18,927,464,448 | LUV      | Southwest Airlines             |
|     18,813,917,184 | VTRS     | Viatris                        |
|     18,765,731,840 | LEN      | Lennar                         |
|     18,758,944,768 | EVRG     | Evergy                         |
|     18,706,317,312 | ESS      | Essex Property Trust           |
|     18,495,266,816 | GPC      | Genuine Parts Company          |
|     18,474,911,744 | BBY      | Best Buy                       |
|     18,455,506,944 | TSN      | Tyson Foods                    |
|     18,158,952,448 | IP       | International Paper            |
|     17,936,660,480 | GEN      | Gen Digital                    |
|     17,827,485,696 | CDW      | CDW                            |
|     17,810,468,864 | CHRW     | C.H. Robinson                  |
|     17,631,793,152 | ZBH      | Zimmer Biomet                  |
|     17,587,716,096 | NWS      | News Corp (Class B)            |
|     17,465,266,176 | TSCO     | Tractor Supply                 |
|     17,436,897,280 | LNT      | Alliant Energy                 |
|     17,193,670,656 | DD       | DuPont                         |
|     17,124,771,840 | NDSN     | Nordson Corporation            |
|     17,101,868,032 | BEN      | Franklin Resources             |
|     16,628,385,792 | ROL      | Rollins Inc.                   |
|     16,462,949,376 | FTV      | Fortive                        |
|     16,447,435,776 | J        | Jacobs Solutions               |
|     16,326,008,832 | IEX      | IDEX Corporation               |
|     16,305,344,512 | NVR      | NVR Inc.                       |
|     16,277,575,680 | INVH     | Invitation Homes               |
|     16,275,340,288 | ZBRA     | Zebra Technologies             |
|     16,257,515,520 | LDOS     | Leidos                         |
