+=================================================================================================+
| HIGHEST LOSERS (52-WEEK METRIC)                                                                 |
| Date: 20260908 | Processed entries: 486                                                         |
+=================================================================================================+

+----------+------------------------------------------+--------------+--------------+--------------+--------------+
| Symbol   | Name                                     | Price        | 52W Low      | 52W High     | Distance     |
| GIS      | General Mills                            |        38.29 |        31.75 |        51.33 |       25.40% |
| PCG      | PG&E Corporation                         |        14.30 |        12.59 |        19.16 |       25.37% |
| MCD      | McDonald's                               |       255.69 |       255.49 |       341.75 |       25.18% |
| HD       | Home Depot (The)                         |       321.05 |       289.10 |       426.75 |       24.77% |
| OTIS     | Otis Worldwide                           |        71.21 |        69.16 |        94.56 |       24.70% |
| CCI      | Crown Castle                             |        75.83 |        69.72 |       100.50 |       24.55% |
| VICI     | Vici Properties                          |        25.42 |        25.34 |        33.65 |       24.46% |
| IR       | Ingersoll Rand                           |        76.36 |        68.07 |       100.96 |       24.37% |
| LYB      | LyondellBasell                           |        63.52 |        41.58 |        83.94 |       24.33% |
| CAT      | Caterpillar Inc.                         |       813.94 |       416.44 |      1073.46 |       24.18% |
| LMT      | Lockheed Martin                          |       525.28 |       437.25 |       692.00 |       24.09% |
| CMI      | Cummins                                  |       560.75 |       390.11 |       737.76 |       23.99% |
| STZ      | Constellation Brands                     |       128.18 |       126.45 |       168.60 |       23.97% |
| CAG      | Conagra Brands                           |        15.48 |        12.53 |        20.32 |       23.82% |
| KR       | Kroger                                   |        58.59 |        54.15 |        76.58 |       23.49% |
| SYK      | Stryker Corporation                      |       303.13 |       281.00 |       395.90 |       23.43% |
| GEHC     | GE HealthCare                            |        68.86 |        58.75 |        89.77 |       23.29% |
| DHI      | D. R. Horton                             |       142.75 |       131.75 |       184.55 |       22.65% |
| TXN      | Texas Instruments                        |       258.44 |       152.73 |       334.03 |       22.63% |
| COO      | Cooper Companies (The)                   |        69.59 |        58.89 |        89.83 |       22.53% |
| ROP      | Roper Technologies                       |       407.28 |       305.96 |       524.90 |       22.41% |
| TJX      | TJX Companies                            |       132.08 |       130.15 |       170.00 |       22.31% |
| CARR     | Carrier Global                           |        59.71 |        50.24 |        76.76 |       22.21% |
| TXT      | Textron                                  |        79.07 |        78.12 |       101.57 |       22.15% |
| META     | Meta Platforms                           |       616.77 |       520.26 |       790.80 |       22.01% |
| GEV      | GE Vernova                               |       941.95 |       530.16 |      1195.94 |       21.24% |
| ABT      | Abbott Laboratories                      |       108.33 |        81.97 |       137.49 |       21.21% |
| ULTA     | Ulta Beauty                              |       564.12 |       443.60 |       714.97 |       21.10% |
| ALGN     | Align Technology                         |       158.63 |       122.00 |       200.44 |       20.86% |
| PWR      | Quanta Services                          |       624.41 |       370.27 |       788.75 |       20.84% |
| WMT      | Walmart                                  |       107.14 |        98.88 |       135.16 |       20.73% |
| VMC      | Vulcan Materials Company                 |       262.63 |       252.35 |       331.09 |       20.68% |
| TDG      | TransDigm Group                          |      1162.05 |      1123.61 |      1463.03 |       20.57% |
| KMB      | Kimberly-Clark                           |       104.96 |        92.42 |       131.53 |       20.20% |
| MGM      | MGM Resorts                              |        41.22 |        29.19 |        51.59 |       20.10% |
| RMD      | ResMed                                   |       228.35 |       180.27 |       284.87 |       19.84% |
| PEP      | PepsiCo                                  |       137.63 |       133.73 |       171.48 |       19.74% |
| UAL      | United Airlines Holdings                 |       111.38 |        84.64 |       138.77 |       19.74% |
| CBOE     | Cboe Global Markets                      |       298.38 |       227.15 |       371.18 |       19.61% |
| FDS      | FactSet                                  |       301.96 |       185.00 |       375.50 |       19.58% |
| HON      | Honeywell                                |       209.61 |       195.87 |       260.28 |       19.47% |
| CMCSA    | Comcast                                  |        26.49 |        21.28 |        32.86 |       19.39% |
| TTWO     | Take-Two Interactive                     |       214.69 |       187.63 |       265.94 |       19.27% |
| ORLY     | O'Reilly Auto Parts                      |        87.89 |        82.59 |       108.72 |       19.16% |
| EQT      | EQT Corporation                          |        55.17 |        47.94 |        68.24 |       19.15% |
| HPE      | Hewlett Packard Enterprise               |        52.00 |        19.84 |        64.25 |       19.07% |
| HRL      | Hormel Foods                             |        21.54 |        19.70 |        26.60 |       19.02% |
| MU       | Micron Technology                        |      1016.59 |       128.40 |      1255.00 |       19.00% |
| DOV      | Dover Corporation                        |       192.88 |       158.97 |       237.54 |       18.80% |
| ADI      | Analog Devices                           |       362.25 |       223.47 |       445.91 |       18.76% |
| SWKS     | Skyworks Solutions                       |        74.02 |        51.93 |        90.90 |       18.57% |
| HUBB     | Hubbell Incorporated                     |       460.72 |       403.82 |       565.50 |       18.53% |
| AMD      | Advanced Micro Devices                   |       477.57 |       149.22 |       584.73 |       18.33% |
| MAR      | Marriott International                   |       336.51 |       256.76 |       410.98 |       18.12% |
| MOH      | Molina Healthcare                        |       200.80 |       121.06 |       244.89 |       18.00% |
| F        | Ford Motor Company                       |        14.62 |        11.11 |        17.78 |       17.77% |
| MRNA     | Moderna                                  |       145.55 |        22.28 |       176.66 |       17.61% |
| TEL      | TE Connectivity                          |       208.65 |       190.27 |       252.56 |       17.39% |
| GOOGL    | Alphabet Inc. (Class A)                  |       338.46 |       233.23 |       408.61 |       17.17% |
| GOOG     | Alphabet Inc. (Class C)                  |       335.31 |       233.38 |       404.47 |       17.10% |
| WY       | Weyerhaeuser                             |        23.02 |        21.16 |        27.75 |       17.05% |
| SRE      | Sempra                                   |        84.04 |        78.97 |       101.04 |       16.83% |
| DD       | DuPont                                   |       131.59 |        92.49 |       157.98 |       16.70% |
| RL       | Ralph Lauren Corporation                 |       351.20 |       299.98 |       421.60 |       16.70% |
| STE      | Steris                                   |       224.59 |       195.14 |       269.44 |       16.65% |
| MKTX     | MarketAxess                              |       163.38 |       108.75 |       195.97 |       16.63% |
| BA       | Boeing                                   |       212.25 |       176.77 |       254.35 |       16.55% |
| COST     | Costco                                   |       915.74 |       844.06 |      1096.50 |       16.49% |
| PANW     | Palo Alto Networks                       |       333.26 |       139.57 |       398.88 |       16.45% |
| UPS      | United Parcel Service                    |       102.29 |        82.00 |       122.41 |       16.44% |
| HWM      | Howmet Aerospace                         |       259.27 |       176.32 |       310.00 |       16.36% |
| CSCO     | Cisco                                    |       109.20 |        66.13 |       130.37 |       16.24% |
| AJG      | Arthur J. Gallagher & Co.                |       262.69 |       190.75 |       313.55 |       16.22% |
| DAL      | Delta Air Lines                          |        80.17 |        55.03 |        95.68 |       16.21% |
| AES      | AES Corporation                          |        14.79 |        12.33 |        17.65 |       16.20% |
